targeted_structure,session_id,k_neurons,n_neurons_total,mean_cv_accuracy,chance_level,fold_accuracy_std
VISp,510214538,1,284,0.26252100840336134,0.125,0.01314031547131521
VISp,510214538,2,284,0.339593837535014,0.125,0.033780763540895965
VISp,510214538,3,284,0.42147058823529415,0.125,0.0214566374852112
VISp,510214538,5,284,0.5417086834733894,0.125,0.0266988659965867
VISp,510214538,8,284,0.6554201680672269,0.125,0.03161835973896747
VISp,510214538,13,284,0.7407002801120448,0.125,0.04633410968476968
VISp,510214538,22,284,0.762436974789916,0.125,0.04333217901008178
VISp,510214538,36,284,0.7792156862745098,0.125,0.02955863688700162
VISp,510214538,61,284,0.7842296918767507,0.125,0.036675947279751014
VISp,510214538,102,284,0.7658263305322129,0.125,0.042512551610846
VISp,510214538,170,284,0.7607703081232493,0.125,0.05126831766077513
VISp,510214538,284,284,0.762436974789916,0.125,0.051836124596010204
VISpm,551888519,1,170,0.17553221288515408,0.125,0.018554362624882404
VISpm,551888519,2,170,0.21563025210084033,0.125,0.033031564856179516
VISpm,551888519,3,170,0.25921568627450975,0.125,0.016169442008051624
VISpm,551888519,4,170,0.262563025210084,0.125,0.009102736434221473
VISpm,551888519,6,170,0.29592436974789915,0.125,0.0265531739727486
VISpm,551888519,10,170,0.3176890756302521,0.125,0.033819066462698895
VISpm,551888519,16,170,0.3611344537815126,0.125,0.03788493400993374
VISpm,551888519,26,170,0.42144257703081234,0.125,0.035224950009261714
VISpm,551888519,42,170,0.4330952380952381,0.125,0.03772945477533744
VISpm,551888519,67,170,0.431484593837535,0.125,0.022350088976502303
VISpm,551888519,107,170,0.4064005602240896,0.125,0.034973915424214644
VISpm,551888519,170,170,0.40977591036414573,0.125,0.03925804535007706
VISal,505695962,1,234,0.2492156862745098,0.125,0.014285055183345448
VISal,505695962,2,234,0.3278151260504202,0.125,0.020226795523413874
VISal,505695962,3,234,0.41644257703081233,0.125,0.026399330525864226
VISal,505695962,4,234,0.4749719887955182,0.125,0.02648605657156948
VISal,505695962,7,234,0.5451960784313725,0.125,0.025356236789498204
VISal,505695962,12,234,0.618795518207283,0.125,0.030640999371016404
VISal,505695962,20,234,0.6421988795518208,0.125,0.04090833829373689
VISal,505695962,32,234,0.678921568627451,0.125,0.04479522797018817
VISal,505695962,53,234,0.6923109243697478,0.125,0.02660365528153519
VISal,505695962,87,234,0.6689075630252102,0.125,0.03217623661201506
VISal,505695962,143,234,0.6488235294117648,0.125,0.04227712078626914
VISal,505695962,234,234,0.6521568627450981,0.125,0.04124019440772858
