session_id,experiment_container_id,targeted_structure,n_neurons,n_trials,ori_0,ori_45,ori_90,ori_135,ori_180,ori_225,ori_270,ori_315
504853580,511510723,VISal,126,598,0.008650972452839401,0.014692837811529413,0.011196153283631433,0.009581345885032037,0.009290830072115746,0.009695712435990269,0.010295411643641594,0.012096890963923999
644026238,642651896,VISp,240,598,0.009207333325603745,0.00534406818985369,0.0036639519697090265,0.0007790056493683513,0.007518933912937231,0.005511090046594876,0.00334584498154907,0.001907411781793011
591460070,591460068,VISal,207,598,0.009300993373134772,0.007350327038683448,0.0038989099410664373,0.008821134320326843,0.011230378236497612,0.006906507686224261,0.00516467907791657,0.006496705605359421
569396924,569396922,VISal,89,598,0.022144003717037626,0.02395187151721664,0.02573049138409226,0.02663526131628382,0.022457422088547816,0.022929433954479925,0.027508026793583978,0.01731089145627044
531348161,530739574,VISp,171,598,0.025105290960681436,0.01912533666765305,0.02068164435904151,0.016436605090161743,0.021855525368998388,0.02169272186415086,0.020487941572241524,0.024884118057114393
512270518,512124562,VISp,90,598,0.0064850667485167905,0.002536087281565717,0.013731116774594787,0.005048536327696874,0.005280464656954691,0.0037236180580366967,0.00783479387309197,0.0048358070100913645
587344053,586351979,VISp,237,598,0.015238537254379706,0.010279552400774812,0.011458603569876186,0.009702093643246422,0.016808900299890912,0.0078097276285454195,0.007484075156327504,0.010036949400726665
569896493,569611977,VISpm,43,598,0.07098740710281269,0.0638703407845374,0.06714147652526978,0.049547370282749165,0.05092963226526109,0.05027217260971508,0.08550457721373629,0.05706407811724304
506540916,511511001,VISpm,60,598,0.0498505354786704,0.04870703945044059,0.04181069595425007,0.037250520413660414,0.048352149183904965,0.04758843825543757,0.03683626269893766,0.039127655220496715
510214538,511510675,VISp,284,598,0.01507294055855352,0.01617707275831109,0.01447316954543091,0.012876954367243157,0.016509656670635895,0.018586968597552923,0.01889890728956386,0.012600500385738947
686441799,686441797,VISpm,100,598,0.012866447671720939,0.01290789279661788,0.01287439970398646,0.016430540469406337,0.014252694719080621,0.011268104406102975,0.010264140149210985,0.016373178174814138
527048992,526481129,VISp,211,598,0.008377987414600739,0.011873021375183165,0.01295352192063331,0.006613937422782851,0.011482638205114304,0.013182392967345672,0.010897896867036773,0.007139655874798495
509580400,511510748,VISpm,17,598,0.039401166981561715,0.054199635678859534,0.05921189691554492,0.03944098792145015,0.041811108037940824,0.05563958067459118,0.06321769429754497,0.04129422826598766
590168385,590168381,VISp,157,598,0.012556791787707595,0.007052496678716231,0.00811328381812979,0.009397949243214215,0.019538629241326787,0.009757356641751012,0.008667682639636732,0.01883004884160318
509904120,511510794,VISal,51,598,0.008446728732487113,0.013029195397946787,0.012232288578009927,0.007499042503278283,0.011773581957384913,0.011869709410488073,0.014368437110999572,0.009351839519546995
501729039,511510989,VISp,227,598,0.012793111268045462,0.00887961965507661,0.011778363588654531,0.008888925805649393,0.009558084362079776,0.010088801222212425,0.011610125918716541,0.008507354821333142
587339481,586452279,VISpm,79,599,0.013132014276046605,0.00900804569500448,0.014411043235514214,0.00806609973290833,0.01419171375001942,0.007065194837425207,0.0129436985105071,0.012583862644082401
505695962,511510860,VISal,234,598,0.02460805361268397,0.02455463556393978,0.019919622204027064,0.01751150190662206,0.017745887510059875,0.02416838170807351,0.017769653080217728,0.01911757589423987
605800963,603519606,VISpm,42,598,0.06187091874644362,0.057981011606019914,0.07417922566985542,0.06783303271869863,0.060324156063494436,0.07316917177720089,0.06051082975935204,0.0649372470643984
551888519,551888517,VISpm,170,598,0.04139067942191138,0.044469857892320275,0.038198487664035614,0.035954935705353575,0.045262996744310814,0.047109124678063455,0.04027828637410066,0.03807300897248647
510390912,511500480,VISal,87,598,0.008448237173007885,0.008611586784645554,0.008107976619194626,0.009138340857000205,0.009379922812736733,0.007122191956887349,0.009215217282301161,0.011962148916205147
